skim_type,skim_variable,n_missing,complete_rate,factor.ordered,factor.n_unique,factor.top_counts,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
factor,new_child,0,1,FALSE,2,"no: 3327, yes: 583",NA,NA,NA,NA,NA,NA,NA,NA
factor,country,0,1,FALSE,1,"Aus: 3910, Rus: 0, Geo: 0, Ger: 0",NA,NA,NA,NA,NA,NA,NA,NA
factor,sex,0,1,FALSE,2,"fem: 2320, mal: 1590",NA,NA,NA,NA,NA,NA,NA,NA
factor,partner_sat,8,0.9979539641943734,TRUE,6,"com: 2449, no : 812, mos: 491, sat: 98",NA,NA,NA,NA,NA,NA,NA,NA
factor,migrant,0,1,FALSE,2,"yes: 3351, no: 559",NA,NA,NA,NA,NA,NA,NA,NA
factor,education,0,1,TRUE,5,"upp: 2133, ter: 694, pos: 624, low: 442",NA,NA,NA,NA,NA,NA,NA,NA
factor,marital_status,10,0.9974424552429667,FALSE,4,"nev: 1859, mar: 1806, div: 220, wid: 15",NA,NA,NA,NA,NA,NA,NA,NA
factor,partner_status,1,0.9997442455242966,FALSE,3,"co-: 2466, no : 812, non: 631",NA,NA,NA,NA,NA,NA,NA,NA
factor,gave_birth,0,1,FALSE,2,"no: 3618, yes: 292",NA,NA,NA,NA,NA,NA,NA,NA
factor,dead_child,1843,0.5286445012787724,FALSE,2,"no: 2006, yes: 61",NA,NA,NA,NA,NA,NA,NA,NA
factor,activity_status,0,1,FALSE,10,"emp: 2869, stu: 327, mat: 268, loo: 170",NA,NA,NA,NA,NA,NA,NA,NA
factor,dwell_ownership,0,1,FALSE,3,"own: 2216, not: 1423, oth: 271",NA,NA,NA,NA,NA,NA,NA,NA
factor,general_health,0,1,TRUE,5,"ver: 2216, goo: 1316, fai: 335, bad: 39",NA,NA,NA,NA,NA,NA,NA,NA
factor,hh_type,0,1,FALSE,9,"cou: 1802, liv: 686, cou: 586, liv: 470",NA,NA,NA,NA,NA,NA,NA,NA
factor,sett_type,0,1,FALSE,2,"urb: 2282, rur: 1628",NA,NA,NA,NA,NA,NA,NA,NA
factor,intentions,151,0.9613810741687979,FALSE,2,"yes: 2607, no: 1152",NA,NA,NA,NA,NA,NA,NA,NA
numeric,age,0,1,NA,NA,NA,32.88951406649615,7.787538669287,18,26,34,40,45,▅▅▆▆▇
numeric,nr_kids,0,1,NA,NA,NA,1.177749360613809,1.2609676625471733,0,0,1,2,11,▇▁▁▁▁
numeric,age_youngest,1739,0.5552429667519181,NA,NA,NA,7.116536158452324,5.9035846468826225,0,2,6,11,28,▇▅▂▁▁
